Caso,n,m,MejorConocido,Random_Fitness,Random_Tiempo,Random_Desv,Greedy_Fitness,Greedy_Tiempo,Greedy_Desv,RandLS_Fitness,RandLS_Tiempo,RandLS_Desv,HeurLS_Fitness,HeurLS_Tiempo,HeurLS_Desv
GKD-b_1_n25_m2,25,2,0,0,0.156509,0,0,4.6053e-05,0,0,5.06706e-05,0,0,5.79456e-05,0
GKD-b_2_n25_m2,25,2,0,0,0.151843,0,0,4.7397e-05,0,0,5.02668e-05,0,0,5.0874e-05,0
GKD-b_3_n25_m2,25,2,0,0,0.154259,0,0,4.5165e-05,0,0,6.35522e-05,0,0,5.30808e-05,0
GKD-b_4_n25_m2,25,2,0,0,0.155833,0,0,5.9166e-05,0,0,5.10338e-05,0,0,5.02262e-05,0
GKD-b_5_n25_m2,25,2,0,0,0.148497,0,0,4.6043e-05,0,0,5.3257e-05,0,0,5.04352e-05,0
GKD-b_6_n25_m7,25,7,12.718,13.4793,0.586978,5.98641,66.9423,0.000239599,426.361,30.7546,0.000421378,141.82,36.7007,0.000396431,188.574
GKD-b_7_n25_m7,25,7,14.0988,16.7546,0.587516,18.8378,40.8386,0.000208261,189.661,31.123,0.000398204,120.75,31.8693,0.000392555,126.043
GKD-b_8_n25_m7,25,7,16.7612,21.2857,0.583783,26.994,61.1046,0.000209635,264.56,32.4837,0.000419185,93.803,36.1454,0.000602458,115.649
GKD-b_9_n25_m7,25,7,17.0692,17.0692,0.573019,2.23484e-05,71.696,0.000231968,320.031,40.4111,0.000363187,136.749,31.5337,0.000748592,84.74
GKD-b_10_n25_m7,25,7,23.2652,26.8843,0.57535,15.5556,106.925,0.000242277,359.59,37.9832,0.000495272,63.2615,40.3056,0.000533736,73.2439
GKD-b_11_n50_m5,50,5,1.9261,3.60699,0.369123,87.2693,40.351,0.00025874,1994.96,10.1198,0.000563,425.404,16.6363,0.000531699,763.731
