Caso,n,m,MejorConocido,Algoritmo,Repeticion,Fitness,Tiempo,Desv
GKD-b_1_n25_m2,25,2,0,Random,1,0,0.156509,0
GKD-b_1_n25_m2,25,2,0,Greedy,1,0,4.6053e-05,0
GKD-b_1_n25_m2,25,2,0,RandLS,1,0,6.0068e-05,0
GKD-b_1_n25_m2,25,2,0,RandLS,2,0,4.909e-05,0
GKD-b_1_n25_m2,25,2,0,RandLS,3,0,4.8896e-05,0
GKD-b_1_n25_m2,25,2,0,RandLS,4,0,4.7522e-05,0
GKD-b_1_n25_m2,25,2,0,RandLS,5,0,4.7777e-05,0
GKD-b_1_n25_m2,25,2,0,HeurLS,1,0,5.8934e-05,0
GKD-b_1_n25_m2,25,2,0,HeurLS,2,0,4.8359e-05,0
GKD-b_1_n25_m2,25,2,0,HeurLS,3,0,6.1232e-05,0
GKD-b_1_n25_m2,25,2,0,HeurLS,4,0,6.1608e-05,0
GKD-b_1_n25_m2,25,2,0,HeurLS,5,0,5.9595e-05,0
GKD-b_2_n25_m2,25,2,0,Random,1,0,0.151843,0
GKD-b_2_n25_m2,25,2,0,Greedy,1,0,4.7397e-05,0
GKD-b_2_n25_m2,25,2,0,RandLS,1,0,5.8723e-05,0
GKD-b_2_n25_m2,25,2,0,RandLS,2,0,4.9037e-05,0
GKD-b_2_n25_m2,25,2,0,RandLS,3,0,4.8083e-05,0
GKD-b_2_n25_m2,25,2,0,RandLS,4,0,4.7808e-05,0
GKD-b_2_n25_m2,25,2,0,RandLS,5,0,4.7683e-05,0
GKD-b_2_n25_m2,25,2,0,HeurLS,1,0,5.1338e-05,0
GKD-b_2_n25_m2,25,2,0,HeurLS,2,0,5.0233e-05,0
GKD-b_2_n25_m2,25,2,0,HeurLS,3,0,5.2914e-05,0
GKD-b_2_n25_m2,25,2,0,HeurLS,4,0,5.0151e-05,0
GKD-b_2_n25_m2,25,2,0,HeurLS,5,0,4.9734e-05,0
GKD-b_3_n25_m2,25,2,0,Random,1,0,0.154259,0
GKD-b_3_n25_m2,25,2,0,Greedy,1,0,4.5165e-05,0
GKD-b_3_n25_m2,25,2,0,RandLS,1,0,6.8409e-05,0
GKD-b_3_n25_m2,25,2,0,RandLS,2,0,9.5272e-05,0
GKD-b_3_n25_m2,25,2,0,RandLS,3,0,4.6791e-05,0
GKD-b_3_n25_m2,25,2,0,RandLS,4,0,5.933e-05,0
GKD-b_3_n25_m2,25,2,0,RandLS,5,0,4.7959e-05,0
GKD-b_3_n25_m2,25,2,0,HeurLS,1,0,5.1698e-05,0
GKD-b_3_n25_m2,25,2,0,HeurLS,2,0,6.1135e-05,0
GKD-b_3_n25_m2,25,2,0,HeurLS,3,0,5.2241e-05,0
GKD-b_3_n25_m2,25,2,0,HeurLS,4,0,5.0017e-05,0
GKD-b_3_n25_m2,25,2,0,HeurLS,5,0,5.0313e-05,0
GKD-b_4_n25_m2,25,2,0,Random,1,0,0.155833,0
GKD-b_4_n25_m2,25,2,0,Greedy,1,0,5.9166e-05,0
GKD-b_4_n25_m2,25,2,0,RandLS,1,0,5.9981e-05,0
GKD-b_4_n25_m2,25,2,0,RandLS,2,0,4.9517e-05,0
GKD-b_4_n25_m2,25,2,0,RandLS,3,0,4.8684e-05,0
GKD-b_4_n25_m2,25,2,0,RandLS,4,0,4.8272e-05,0
GKD-b_4_n25_m2,25,2,0,RandLS,5,0,4.8715e-05,0
GKD-b_4_n25_m2,25,2,0,HeurLS,1,0,5.1606e-05,0
GKD-b_4_n25_m2,25,2,0,HeurLS,2,0,4.9951e-05,0
GKD-b_4_n25_m2,25,2,0,HeurLS,3,0,4.9935e-05,0
GKD-b_4_n25_m2,25,2,0,HeurLS,4,0,4.9474e-05,0
GKD-b_4_n25_m2,25,2,0,HeurLS,5,0,5.0165e-05,0
GKD-b_5_n25_m2,25,2,0,Random,1,0,0.148497,0
GKD-b_5_n25_m2,25,2,0,Greedy,1,0,4.6043e-05,0
GKD-b_5_n25_m2,25,2,0,RandLS,1,0,5.8783e-05,0
GKD-b_5_n25_m2,25,2,0,RandLS,2,0,4.8645e-05,0
GKD-b_5_n25_m2,25,2,0,RandLS,3,0,4.9033e-05,0
GKD-b_5_n25_m2,25,2,0,RandLS,4,0,4.8061e-05,0
GKD-b_5_n25_m2,25,2,0,RandLS,5,0,6.1763e-05,0
GKD-b_5_n25_m2,25,2,0,HeurLS,1,0,5.157e-05,0
GKD-b_5_n25_m2,25,2,0,HeurLS,2,0,5.0101e-05,0
GKD-b_5_n25_m2,25,2,0,HeurLS,3,0,5.0312e-05,0
GKD-b_5_n25_m2,25,2,0,HeurLS,4,0,4.9934e-05,0
GKD-b_5_n25_m2,25,2,0,HeurLS,5,0,5.0259e-05,0
GKD-b_6_n25_m7,25,7,12.718,Random,1,13.4793,0.586978,5.98641
GKD-b_6_n25_m7,25,7,12.718,Greedy,1,66.9423,0.000239599,426.361
GKD-b_6_n25_m7,25,7,12.718,RandLS,1,15.2853,0.000510048,20.1866
GKD-b_6_n25_m7,25,7,12.718,RandLS,2,44.5782,0.000256219,250.514
GKD-b_6_n25_m7,25,7,12.718,RandLS,3,40.8066,0.000389791,220.858
GKD-b_6_n25_m7,25,7,12.718,RandLS,4,15.285,0.0003342,20.1846
GKD-b_6_n25_m7,25,7,12.718,RandLS,5,37.8177,0.000616632,197.357
GKD-b_6_n25_m7,25,7,12.718,HeurLS,1,29.3444,0.000419508,130.732
GKD-b_6_n25_m7,25,7,12.718,HeurLS,2,58.2791,0.000203317,358.242
GKD-b_6_n25_m7,25,7,12.718,HeurLS,3,30.814,0.000295837,142.287
GKD-b_6_n25_m7,25,7,12.718,HeurLS,4,26.1224,0.000564864,105.398
GKD-b_6_n25_m7,25,7,12.718,HeurLS,5,38.9437,0.000498631,206.21
GKD-b_7_n25_m7,25,7,14.0988,Random,1,16.7546,0.587516,18.8378
GKD-b_7_n25_m7,25,7,14.0988,Greedy,1,40.8386,0.000208261,189.661
GKD-b_7_n25_m7,25,7,14.0988,RandLS,1,29.5713,0.00022659,109.744
GKD-b_7_n25_m7,25,7,14.0988,RandLS,2,20.1407,0.000488338,42.8548
GKD-b_7_n25_m7,25,7,14.0988,RandLS,3,30.2363,0.000671782,114.461
GKD-b_7_n25_m7,25,7,14.0988,RandLS,4,37.9147,0.000259939,168.923
GKD-b_7_n25_m7,25,7,14.0988,RandLS,5,37.752,0.00034437,167.768
GKD-b_7_n25_m7,25,7,14.0988,HeurLS,1,41.4644,0.00036825,194.1
GKD-b_7_n25_m7,25,7,14.0988,HeurLS,2,28.8389,0.000399907,104.549
GKD-b_7_n25_m7,25,7,14.0988,HeurLS,3,20.0248,0.00030873,42.0323
GKD-b_7_n25_m7,25,7,14.0988,HeurLS,4,29.3999,0.000546064,108.528
GKD-b_7_n25_m7,25,7,14.0988,HeurLS,5,39.6184,0.000339826,181.007
GKD-b_8_n25_m7,25,7,16.7612,Random,1,21.2857,0.583783,26.994
GKD-b_8_n25_m7,25,7,16.7612,Greedy,1,61.1046,0.000209635,264.56
GKD-b_8_n25_m7,25,7,16.7612,RandLS,1,47.5945,0.000230421,183.957
GKD-b_8_n25_m7,25,7,16.7612,RandLS,2,26.1569,0.000611623,56.0565
GKD-b_8_n25_m7,25,7,16.7612,RandLS,3,21.2858,0.000393802,26.9947
GKD-b_8_n25_m7,25,7,16.7612,RandLS,4,45.111,0.000309505,169.14
GKD-b_8_n25_m7,25,7,16.7612,RandLS,5,22.2701,0.000550572,32.8673
GKD-b_8_n25_m7,25,7,16.7612,HeurLS,1,33.8779,0.000899645,102.121
GKD-b_8_n25_m7,25,7,16.7612,HeurLS,2,45.8041,0.000675644,173.275
GKD-b_8_n25_m7,25,7,16.7612,HeurLS,3,31.5013,0.000331458,87.9418
GKD-b_8_n25_m7,25,7,16.7612,HeurLS,4,29.9996,0.000490487,78.9827
GKD-b_8_n25_m7,25,7,16.7612,HeurLS,5,39.5441,0.000615055,135.927
GKD-b_9_n25_m7,25,7,17.0692,Random,1,17.0692,0.573019,2.23484e-05
GKD-b_9_n25_m7,25,7,17.0692,Greedy,1,71.696,0.000231968,320.031
GKD-b_9_n25_m7,25,7,17.0692,RandLS,1,58.9586,0.000260099,245.409
GKD-b_9_n25_m7,25,7,17.0692,RandLS,2,28.6603,0.000314372,67.9067
GKD-b_9_n25_m7,25,7,17.0692,RandLS,3,38.5374,0.000345027,125.772
GKD-b_9_n25_m7,25,7,17.0692,RandLS,4,37.3619,0.000465745,118.885
GKD-b_9_n25_m7,25,7,17.0692,RandLS,5,38.5374,0.000430693,125.772
GKD-b_9_n25_m7,25,7,17.0692,HeurLS,1,35.9848,0.00102088,110.817
GKD-b_9_n25_m7,25,7,17.0692,HeurLS,2,38.2793,0.000504637,124.259
GKD-b_9_n25_m7,25,7,17.0692,HeurLS,3,26.301,0.000717348,54.0842
GKD-b_9_n25_m7,25,7,17.0692,HeurLS,4,30.8023,0.000727965,80.4554
GKD-b_9_n25_m7,25,7,17.0692,HeurLS,5,26.3009,0.000772129,54.0839
GKD-b_10_n25_m7,25,7,23.2652,Random,1,26.8843,0.57535,15.5556
GKD-b_10_n25_m7,25,7,23.2652,Greedy,1,106.925,0.000242277,359.59
GKD-b_10_n25_m7,25,7,23.2652,RandLS,1,32.3824,0.000858638,39.1879
GKD-b_10_n25_m7,25,7,23.2652,RandLS,2,39.0555,0.000347317,67.8709
GKD-b_10_n25_m7,25,7,23.2652,RandLS,3,26.8844,0.000647563,15.5561
GKD-b_10_n25_m7,25,7,23.2652,RandLS,4,30.2731,0.000337871,30.1218
GKD-b_10_n25_m7,25,7,23.2652,RandLS,5,61.3204,0.000284969,163.571
GKD-b_10_n25_m7,25,7,23.2652,HeurLS,1,32.3824,0.000521717,39.1882
GKD-b_10_n25_m7,25,7,23.2652,HeurLS,2,50.0247,0.000353439,115.019
GKD-b_10_n25_m7,25,7,23.2652,HeurLS,3,36.4858,0.000659659,56.8256
GKD-b_10_n25_m7,25,7,23.2652,HeurLS,4,41.0552,0.000560927,76.4658
GKD-b_10_n25_m7,25,7,23.2652,HeurLS,5,41.5798,0.000572936,78.7209
GKD-b_11_n50_m5,50,5,1.9261,Random,1,3.60699,0.369123,87.2693
GKD-b_11_n50_m5,50,5,1.9261,Greedy,1,40.351,0.00025874,1994.96
GKD-b_11_n50_m5,50,5,1.9261,RandLS,1,10.7471,0.000604692,457.974
GKD-b_11_n50_m5,50,5,1.9261,RandLS,2,14.2538,0.000670294,640.033
GKD-b_11_n50_m5,50,5,1.9261,RandLS,3,6.12573,0.000359318,218.038
GKD-b_11_n50_m5,50,5,1.9261,RandLS,4,12.1976,0.000425075,533.281
GKD-b_11_n50_m5,50,5,1.9261,RandLS,5,7.27478,0.000755622,277.695
GKD-b_11_n50_m5,50,5,1.9261,HeurLS,1,15.1631,0.00049442,687.243
GKD-b_11_n50_m5,50,5,1.9261,HeurLS,2,14.5566,0.000466988,655.757
GKD-b_11_n50_m5,50,5,1.9261,HeurLS,3,12.9056,0.000542711,570.037
GKD-b_11_n50_m5,50,5,1.9261,HeurLS,4,21.4382,0.00044782,1013.04
GKD-b_11_n50_m5,50,5,1.9261,HeurLS,5,19.1181,0.000706556,892.581
GKD-b_12_n50_m5,50,5,2.12104,Random,1,4.75397,0.35582,124.134
GKD-b_12_n50_m5,50,5,2.12104,Greedy,1,22.6729,0.000247793,968.953
GKD-b_12_n50_m5,50,5,2.12104,RandLS,1,27.5535,0.000409125,1199.05
GKD-b_12_n50_m5,50,5,2.12104,RandLS,2,23.754,0.000265423,1019.92
GKD-b_12_n50_m5,50,5,2.12104,RandLS,3,11.6732,0.00057035,450.351
GKD-b_12_n50_m5,50,5,2.12104,RandLS,4,10.7489,0.000332603,406.775
GKD-b_12_n50_m5,50,5,2.12104,RandLS,5,5.43091,0.000347193,156.049
